Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget,pass_read,pass_math,pass_both,budget_per_student,spending_lvl,school_size
0,Paul Bradley,M,9th,Huang High School,66,79,0,District,2917,1910635,0,1,0,655,4,Medium
1,Victor Smith,M,12th,Huang High School,94,61,0,District,2917,1910635,1,0,0,655,4,Medium
2,Kevin Rodriguez,M,12th,Huang High School,90,60,0,District,2917,1910635,1,0,0,655,4,Medium
3,Richard Scott,M,12th,Huang High School,67,58,0,District,2917,1910635,0,0,0,655,4,Medium
4,Bonnie Ray,F,9th,Huang High School,97,84,0,District,2917,1910635,1,1,1,655,4,Medium
5,Bryan Miranda,M,9th,Huang High School,94,94,0,District,2917,1910635,1,1,1,655,4,Medium
6,Sheena Carter,F,11th,Huang High School,82,80,0,District,2917,1910635,1,1,1,655,4,Medium
7,Nicole Baker,F,12th,Huang High School,96,69,0,District,2917,1910635,1,0,0,655,4,Medium
8,Michael Roth,M,10th,Huang High School,95,87,0,District,2917,1910635,1,1,1,655,4,Medium
9,Matthew Greene,M,10th,Huang High School,96,84,0,District,2917,1910635,1,1,1,655,4,Medium
10,Andrew Alexander,M,10th,Huang High School,90,70,0,District,2917,1910635,1,1,1,655,4,Medium
11,Daniel Cooper,M,10th,Huang High School,78,77,0,District,2917,1910635,1,1,1,655,4,Medium
12,Brittney Walker,F,9th,Huang High School,64,79,0,District,2917,1910635,0,1,0,655,4,Medium
13,William Long,M,9th,Huang High School,71,79,0,District,2917,1910635,1,1,1,655,4,Medium
14,Tammy Hebert,F,10th,Huang High School,85,67,0,District,2917,1910635,1,0,0,655,4,Medium
15,Jordan Carson,M,11th,Huang High School,94,88,0,District,2917,1910635,1,1,1,655,4,Medium
16,Donald Zamora,M,9th,Huang High School,88,55,0,District,2917,1910635,1,0,0,655,4,Medium
17,Kimberly Santiago,F,9th,Huang High School,74,75,0,District,2917,1910635,1,1,1,655,4,Medium
18,Kevin Stevens,M,9th,Huang High School,64,69,0,District,2917,1910635,0,0,0,655,4,Medium
19,Brandi Lyons,F,9th,Huang High School,89,80,0,District,2917,1910635,1,1,1,655,4,Medium
20,Lisa Davis,F,10th,Huang High School,91,89,0,District,2917,1910635,1,1,1,655,4,Medium
21,Kristen Lopez,F,10th,Huang High School,90,77,0,District,2917,1910635,1,1,1,655,4,Medium
22,Kimberly Stewart,F,11th,Huang High School,99,84,0,District,2917,1910635,1,1,1,655,4,Medium
23,Christopher Parker,M,9th,Huang High School,81,68,0,District,2917,1910635,1,0,0,655,4,Medium
